task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
bipartite,Bipartite,1,"(6, [(0,3),(0,4),(0,5),(1,3),(1,4),(1,5),(2,3),(2,4),(2,5)])",True,True,"6|0-3,0-4,0-5,1-3,1-4,1-5,2-3,2-4,2-5",
bipartite,Bipartite,2,"(5, [(0,1),(1,2),(2,3),(3,4),(4,0)])",True,False,,
bipartite,Bipartite,3,"(6, [(0,1),(1,2),(2,3)])",True,True,"6|0-1,1-2,2-3",
bipartite,Bipartite,4,"(6, [(0,3),(0,4),(0,5),(1,3),(1,4),(1,5),(2,3),(2,4),(2,5)])",True,True,"6|0-3,0-4,0-5,1-3,1-4,1-5,2-3,2-4,2-5",
bipartite,Bipartite,5,bipartite,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA277D50>"
bipartite,Bipartite,6,"(4, [(0,1),(0,2),(0,3),(1,2),(1,3),(2,3)])",True,False,,
k_coloring,k-coloring,1,"(5, [(0,1),(1,2),(2,3),(3,4),(4,0)])",True,True,"5|0-1,0-4,1-2,2-3,3-4",
k_coloring,k-coloring,2,"(4, [(0,1),(0,2),(0,3),(1,2),(1,3),(2,3)])",True,False,,
k_coloring,k-coloring,3,"(6, [(0,1),(1,2),(2,3)])",True,True,"6|0-1,1-2,2-3",
k_coloring,k-coloring,4,"(5, [(0,1),(1,2),(2,3),(3,4),(4,0)])",True,True,"5|0-1,0-4,1-2,2-3,3-4",
k_coloring,k-coloring,5,kcolor,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA27DCD0>"
k_coloring,k-coloring,6,"(3, [(0,1),(1,2),(2,0)])",True,True,"3|0-1,0-2,1-2",
